,age,is_hereditary,height,is_smoker,stress,bald_prob
626,37.0,1.0,163.6718918792865,1.0,7.0,high
627,49.0,1.0,164.55179723244427,0.0,3.0,high
628,50.0,0.0,185.3920712274391,0.0,4.0,medium
629,39.0,1.0,183.00570667608483,1.0,2.0,medium
630,56.0,0.0,173.7188333227565,0.0,4.0,high
631,39.0,0.0,190.2073816678388,0.0,9.0,medium
632,28.0,1.0,169.32591632117507,0.0,3.0,medium
633,30.0,0.0,169.9199442614442,0.0,7.0,medium
634,46.0,0.0,169.24846134273224,0.0,3.0,high
635,41.0,0.0,190.0578688211453,0.0,9.0,medium
636,34.0,0.0,168.54083172449816,0.0,1.0,medium
637,38.0,1.0,166.23203544780247,0.0,3.0,medium
638,65.0,0.0,164.0411401847856,1.0,7.0,high
639,45.0,1.0,184.16476228374435,0.0,2.0,medium
641,47.0,1.0,188.7716462403928,0.0,5.0,high
642,31.0,0.0,155.48341872117874,1.0,4.0,medium
646,24.0,0.0,154.57822477418028,0.0,8.0,medium
647,34.0,0.0,192.41937039686488,0.0,1.0,low
648,30.0,0.0,180.0026537575575,0.0,4.0,medium
649,41.0,0.0,159.41036355506483,1.0,3.0,medium
651,62.0,0.0,163.0115050660081,1.0,3.0,high
652,25.0,0.0,153.28660415487926,0.0,4.0,medium
653,45.0,0.0,174.54748026721117,0.0,10.0,high
655,35.0,0.0,166.59913191445327,1.0,1.0,medium
657,50.0,1.0,181.65046646536325,0.0,2.0,high
658,43.0,0.0,162.3110659333433,0.0,4.0,medium
660,22.0,0.0,171.9456325152063,0.0,5.0,medium
661,38.0,0.0,160.2797001679177,0.0,3.0,medium
662,48.0,0.0,182.1347671298149,0.0,10.0,medium
663,20.0,0.0,168.53228391163424,0.0,2.0,medium
665,40.0,0.0,145.4646360867909,0.0,9.0,medium
667,37.0,1.0,174.76152600623865,1.0,10.0,high
668,33.0,0.0,169.0504407414095,1.0,9.0,medium
669,45.0,0.0,169.29821464403906,0.0,7.0,medium
670,37.0,0.0,173.34088647509142,1.0,4.0,medium
