,age,gender,is_hereditary,is_smoker,stress,bald_prob
311,30.0,1,0.0,0.0,9.0,medium
312,35.0,1,0.0,1.0,4.0,medium
313,44.0,1,1.0,0.0,7.0,high
314,56.0,1,0.0,0.0,3.0,high
315,39.0,1,0.0,1.0,6.0,high
317,39.0,0,0.0,0.0,2.0,medium
318,21.0,1,0.0,0.0,3.0,medium
319,31.0,0,0.0,0.0,3.0,low
320,39.0,1,0.0,0.0,6.0,high
321,24.0,1,1.0,1.0,10.0,high
322,31.0,1,0.0,1.0,9.0,medium
323,46.0,1,1.0,0.0,1.0,high
324,29.0,0,0.0,0.0,9.0,medium
327,32.0,0,0.0,1.0,9.0,high
328,41.0,1,0.0,0.0,6.0,high
330,43.0,0,0.0,1.0,2.0,medium
331,45.0,1,0.0,0.0,3.0,medium
332,58.0,1,0.0,1.0,2.0,high
333,47.0,0,1.0,0.0,4.0,medium
334,38.0,1,0.0,0.0,2.0,medium
335,44.0,1,0.0,1.0,7.0,high
337,41.0,0,0.0,0.0,9.0,high
340,39.0,1,0.0,0.0,5.0,medium
341,31.0,0,0.0,1.0,7.0,medium
342,55.0,1,1.0,0.0,3.0,high
343,43.0,1,0.0,1.0,8.0,high
346,35.0,1,0.0,0.0,9.0,medium
347,27.0,1,1.0,1.0,2.0,high
348,36.0,1,0.0,1.0,10.0,medium
349,55.0,1,0.0,0.0,9.0,high
350,35.0,0,0.0,1.0,4.0,medium
351,44.0,1,0.0,0.0,7.0,medium
352,45.0,1,0.0,1.0,1.0,high
353,36.0,1,0.0,1.0,4.0,medium
354,39.0,1,0.0,0.0,6.0,medium
355,40.0,1,0.0,0.0,7.0,medium
356,15.0,0,0.0,1.0,1.0,low
357,52.0,1,0.0,1.0,4.0,medium
358,43.0,1,1.0,1.0,3.0,high
359,39.0,1,0.0,0.0,8.0,medium
360,57.0,1,0.0,0.0,3.0,medium
362,47.0,1,1.0,0.0,4.0,high
363,48.0,0,0.0,0.0,2.0,medium
365,46.0,1,1.0,1.0,1.0,high
366,46.0,1,0.0,0.0,9.0,high
367,45.0,1,0.0,1.0,1.0,medium
368,39.0,1,1.0,0.0,2.0,medium
369,41.0,0,0.0,1.0,10.0,high
370,41.0,1,0.0,1.0,2.0,medium
371,28.0,1,0.0,0.0,2.0,medium
372,29.0,1,1.0,0.0,5.0,high
373,28.0,0,0.0,1.0,6.0,medium
374,22.0,1,0.0,1.0,4.0,medium
375,51.0,1,0.0,0.0,8.0,high
376,43.0,1,0.0,0.0,7.0,medium
377,60.0,0,0.0,1.0,4.0,high
378,35.0,0,0.0,0.0,4.0,high
379,44.0,0,0.0,1.0,10.0,high
381,42.0,1,1.0,1.0,9.0,high
382,40.0,1,0.0,1.0,8.0,high
384,30.0,1,0.0,0.0,5.0,high
385,38.0,1,0.0,1.0,10.0,high
386,35.0,0,0.0,1.0,9.0,medium
387,47.0,1,1.0,0.0,5.0,high
389,50.0,1,0.0,0.0,3.0,medium
390,35.0,0,0.0,1.0,10.0,high
391,71.0,1,0.0,0.0,5.0,high
392,48.0,1,0.0,0.0,2.0,medium
394,44.0,1,0.0,1.0,6.0,medium
398,46.0,1,0.0,0.0,6.0,medium
400,35.0,0,0.0,0.0,7.0,medium
403,41.0,1,0.0,1.0,9.0,high
404,49.0,1,0.0,1.0,2.0,high
406,37.0,0,0.0,0.0,10.0,medium
407,26.0,1,0.0,1.0,7.0,high
408,44.0,1,1.0,1.0,4.0,high
409,50.0,1,0.0,1.0,6.0,high
415,65.0,1,0.0,0.0,2.0,high
416,35.0,1,0.0,0.0,5.0,medium
417,29.0,1,0.0,0.0,9.0,medium
418,38.0,1,1.0,0.0,9.0,high
419,43.0,1,0.0,1.0,9.0,high
421,56.0,0,0.0,1.0,3.0,high
422,45.0,1,0.0,1.0,2.0,high
423,40.0,0,1.0,0.0,6.0,medium
424,32.0,0,0.0,0.0,8.0,medium
425,55.0,1,0.0,1.0,6.0,high
426,20.0,1,0.0,1.0,4.0,medium
427,40.0,1,0.0,0.0,3.0,medium
428,34.0,1,0.0,0.0,8.0,medium
429,64.0,0,1.0,1.0,6.0,high
430,49.0,1,0.0,1.0,5.0,high
432,47.0,1,0.0,1.0,7.0,high
434,36.0,1,0.0,0.0,7.0,high
435,33.0,1,0.0,0.0,10.0,medium
436,7.0,1,0.0,0.0,6.0,medium
437,34.0,0,1.0,0.0,4.0,medium
438,40.0,0,0.0,0.0,8.0,medium
439,46.0,0,0.0,1.0,10.0,high
440,26.0,1,0.0,1.0,1.0,medium
441,23.0,0,0.0,0.0,8.0,medium
442,37.0,1,0.0,0.0,9.0,medium
443,32.0,1,0.0,1.0,10.0,high
444,50.0,1,1.0,0.0,1.0,high
445,50.0,0,0.0,1.0,9.0,high
446,35.0,1,0.0,0.0,8.0,medium
448,11.0,1,1.0,0.0,4.0,high
449,37.0,1,1.0,0.0,2.0,medium
450,19.0,0,0.0,1.0,7.0,medium
451,67.0,1,1.0,1.0,9.0,high
452,38.0,1,0.0,0.0,10.0,medium
453,36.0,0,1.0,1.0,1.0,high
454,31.0,1,0.0,1.0,5.0,high
456,28.0,0,1.0,0.0,3.0,high
458,40.0,0,1.0,0.0,3.0,high
460,29.0,1,1.0,1.0,5.0,high
461,39.0,1,0.0,0.0,4.0,medium
462,36.0,1,0.0,0.0,2.0,medium
463,46.0,1,0.0,0.0,6.0,medium
465,20.0,0,0.0,1.0,6.0,medium
466,49.0,0,1.0,0.0,5.0,high
467,48.0,1,0.0,0.0,8.0,medium
468,38.0,0,1.0,0.0,6.0,high
470,34.0,1,0.0,0.0,1.0,medium
471,30.0,1,0.0,0.0,5.0,medium
472,26.0,0,0.0,0.0,6.0,medium
473,49.0,0,1.0,0.0,8.0,high
474,44.0,1,0.0,1.0,1.0,high
475,51.0,0,0.0,1.0,4.0,high
476,34.0,1,0.0,0.0,4.0,medium
477,34.0,1,0.0,1.0,10.0,high
478,40.0,0,1.0,1.0,4.0,medium
480,27.0,1,0.0,1.0,2.0,medium
483,35.0,1,0.0,1.0,5.0,medium
484,28.0,0,0.0,0.0,3.0,low
487,52.0,1,1.0,0.0,2.0,high
488,21.0,1,1.0,0.0,7.0,medium
490,52.0,1,0.0,1.0,7.0,high
492,46.0,0,0.0,1.0,6.0,medium
495,38.0,1,0.0,1.0,2.0,medium
496,32.0,0,0.0,1.0,2.0,low
497,36.0,0,0.0,0.0,1.0,medium
498,57.0,0,0.0,0.0,6.0,medium
499,53.0,1,0.0,0.0,2.0,high
500,51.0,1,0.0,0.0,7.0,high
501,41.0,0,0.0,1.0,1.0,medium
504,27.0,1,0.0,0.0,3.0,medium
505,49.0,0,0.0,1.0,2.0,medium
508,35.0,1,0.0,1.0,6.0,medium
511,39.0,1,0.0,1.0,2.0,medium
512,56.0,1,0.0,0.0,8.0,high
513,51.0,1,1.0,1.0,3.0,high
516,28.0,1,0.0,1.0,9.0,high
517,33.0,1,0.0,1.0,3.0,medium
519,35.0,1,0.0,0.0,3.0,medium
520,37.0,0,0.0,0.0,7.0,medium
521,52.0,1,1.0,1.0,4.0,high
522,51.0,1,0.0,1.0,9.0,high
524,46.0,0,0.0,1.0,10.0,medium
525,60.0,1,0.0,0.0,1.0,medium
528,39.0,0,1.0,0.0,1.0,medium
529,42.0,0,1.0,1.0,4.0,high
531,37.0,1,0.0,0.0,2.0,medium
532,41.0,1,0.0,0.0,1.0,medium
535,34.0,1,0.0,0.0,8.0,medium
536,36.0,0,0.0,1.0,6.0,medium
537,22.0,0,0.0,0.0,5.0,low
538,35.0,0,1.0,1.0,9.0,high
539,29.0,0,1.0,1.0,8.0,high
543,50.0,1,0.0,0.0,3.0,medium
545,31.0,1,0.0,0.0,5.0,medium
546,34.0,1,1.0,1.0,3.0,high
547,40.0,1,0.0,1.0,8.0,high
548,52.0,0,0.0,1.0,2.0,high
549,41.0,1,0.0,0.0,3.0,medium
550,23.0,0,0.0,0.0,9.0,medium
553,34.0,1,0.0,0.0,6.0,high
554,27.0,1,1.0,1.0,6.0,high
555,34.0,1,0.0,1.0,7.0,high
556,57.0,1,0.0,0.0,7.0,high
557,43.0,0,0.0,1.0,10.0,high
561,30.0,1,0.0,1.0,1.0,medium
562,35.0,1,0.0,0.0,9.0,medium
563,24.0,1,0.0,0.0,10.0,high
564,31.0,1,0.0,1.0,6.0,medium
565,36.0,1,0.0,1.0,6.0,medium
566,41.0,1,0.0,1.0,4.0,high
567,27.0,0,0.0,0.0,8.0,low
568,47.0,1,0.0,0.0,5.0,medium
569,23.0,1,0.0,0.0,6.0,medium
570,35.0,1,0.0,0.0,1.0,medium
571,30.0,0,0.0,0.0,3.0,medium
572,55.0,1,0.0,0.0,8.0,high
573,69.0,1,0.0,1.0,7.0,high
574,48.0,1,0.0,0.0,10.0,medium
575,59.0,1,1.0,1.0,3.0,high
576,26.0,1,0.0,1.0,6.0,medium
577,29.0,1,0.0,1.0,1.0,medium
579,20.0,1,1.0,1.0,4.0,high
580,28.0,0,0.0,0.0,8.0,medium
581,49.0,0,1.0,0.0,6.0,medium
582,47.0,1,1.0,1.0,7.0,high
583,22.0,0,0.0,0.0,6.0,medium
584,41.0,1,1.0,1.0,7.0,high
585,38.0,0,0.0,0.0,4.0,medium
586,31.0,1,1.0,1.0,7.0,high
587,38.0,0,1.0,0.0,9.0,medium
588,33.0,1,0.0,1.0,4.0,medium
589,31.0,0,0.0,0.0,6.0,medium
590,54.0,0,1.0,1.0,1.0,high
592,40.0,1,0.0,1.0,8.0,high
593,45.0,1,0.0,1.0,6.0,medium
594,45.0,0,1.0,0.0,9.0,high
595,32.0,1,0.0,1.0,2.0,medium
598,45.0,1,0.0,0.0,2.0,medium
601,62.0,0,0.0,0.0,8.0,medium
603,41.0,1,0.0,1.0,7.0,high
604,42.0,1,0.0,1.0,10.0,high
606,35.0,0,1.0,1.0,10.0,high
608,19.0,1,1.0,1.0,10.0,high
612,43.0,1,0.0,1.0,5.0,high
613,27.0,1,1.0,1.0,5.0,high
615,39.0,1,0.0,0.0,1.0,medium
616,27.0,1,0.0,0.0,10.0,high
617,44.0,1,1.0,0.0,8.0,high
619,27.0,1,0.0,0.0,10.0,high
620,50.0,1,0.0,1.0,5.0,high
621,40.0,0,0.0,1.0,1.0,medium
622,50.0,1,0.0,1.0,1.0,high
623,35.0,1,0.0,0.0,1.0,medium
624,37.0,0,0.0,0.0,2.0,low
625,40.0,1,0.0,1.0,7.0,medium
626,37.0,1,1.0,1.0,7.0,high
627,49.0,0,1.0,0.0,3.0,high
628,50.0,1,0.0,0.0,4.0,medium
629,39.0,1,1.0,1.0,2.0,medium
630,56.0,1,0.0,0.0,4.0,high
631,39.0,1,0.0,0.0,9.0,medium
632,28.0,1,1.0,0.0,3.0,medium
633,30.0,0,0.0,0.0,7.0,medium
634,46.0,1,0.0,0.0,3.0,high
635,41.0,1,0.0,0.0,9.0,medium
636,34.0,0,0.0,0.0,1.0,medium
637,38.0,0,1.0,0.0,3.0,medium
638,65.0,1,0.0,1.0,7.0,high
639,45.0,0,1.0,0.0,2.0,medium
641,47.0,1,1.0,0.0,5.0,high
642,31.0,1,0.0,1.0,4.0,medium
646,24.0,1,0.0,0.0,8.0,medium
647,34.0,1,0.0,0.0,1.0,low
648,30.0,1,0.0,0.0,4.0,medium
649,41.0,1,0.0,1.0,3.0,medium
651,62.0,1,0.0,1.0,3.0,high
652,25.0,1,0.0,0.0,4.0,medium
653,45.0,0,0.0,0.0,10.0,high
655,35.0,0,0.0,1.0,1.0,medium
657,50.0,1,1.0,0.0,2.0,high
658,43.0,1,0.0,0.0,4.0,medium
660,22.0,1,0.0,0.0,5.0,medium
661,38.0,1,0.0,0.0,3.0,medium
662,48.0,1,0.0,0.0,10.0,medium
663,20.0,0,0.0,0.0,2.0,medium
665,40.0,1,0.0,0.0,9.0,medium
667,37.0,1,1.0,1.0,10.0,high
668,33.0,1,0.0,1.0,9.0,medium
669,45.0,0,0.0,0.0,7.0,medium
670,37.0,0,0.0,1.0,4.0,medium
671,21.0,1,0.0,0.0,4.0,medium
672,49.0,1,1.0,1.0,10.0,high
674,41.0,0,0.0,1.0,5.0,high
677,46.0,1,0.0,1.0,9.0,high
679,38.0,0,0.0,1.0,6.0,high
681,32.0,1,0.0,0.0,5.0,medium
682,33.0,1,1.0,0.0,6.0,high
683,43.0,0,0.0,1.0,7.0,medium
685,42.0,1,0.0,0.0,7.0,high
686,35.0,1,1.0,1.0,4.0,high
687,49.0,1,0.0,1.0,6.0,high
688,32.0,1,0.0,0.0,2.0,medium
689,21.0,1,0.0,1.0,10.0,high
693,28.0,0,0.0,0.0,9.0,medium
694,24.0,0,1.0,1.0,9.0,high
695,47.0,1,0.0,0.0,1.0,medium
696,34.0,1,1.0,1.0,5.0,high
698,31.0,0,0.0,0.0,8.0,medium
699,41.0,0,0.0,1.0,3.0,medium
700,22.0,1,0.0,0.0,4.0,medium
701,56.0,1,1.0,1.0,3.0,high
702,52.0,1,0.0,0.0,10.0,high
704,37.0,0,0.0,0.0,5.0,medium
705,58.0,0,0.0,0.0,5.0,medium
706,47.0,0,0.0,1.0,9.0,high
707,26.0,1,0.0,0.0,3.0,medium
708,40.0,1,1.0,1.0,6.0,high
709,38.0,1,1.0,0.0,3.0,high
712,35.0,1,0.0,1.0,5.0,medium
713,55.0,1,1.0,1.0,4.0,high
715,42.0,1,0.0,1.0,3.0,medium
716,44.0,0,0.0,1.0,6.0,high
718,11.0,1,1.0,0.0,7.0,medium
719,66.0,0,1.0,1.0,1.0,high
723,45.0,1,1.0,0.0,2.0,high
724,32.0,0,0.0,1.0,2.0,medium
725,34.0,1,0.0,0.0,10.0,medium
726,46.0,1,1.0,0.0,5.0,high
727,28.0,0,0.0,1.0,10.0,medium
728,31.0,1,0.0,0.0,3.0,medium
729,40.0,0,1.0,1.0,4.0,high
731,70.0,1,0.0,1.0,6.0,high
733,35.0,0,0.0,1.0,1.0,medium
734,38.0,1,0.0,0.0,3.0,medium
735,54.0,1,0.0,1.0,6.0,high
739,36.0,1,0.0,0.0,3.0,medium
741,26.0,1,1.0,0.0,6.0,high
745,34.0,0,0.0,1.0,4.0,medium
746,37.0,0,0.0,1.0,7.0,medium
749,39.0,1,0.0,1.0,6.0,high
750,32.0,1,0.0,1.0,9.0,high
751,35.0,1,0.0,1.0,4.0,high
752,46.0,1,0.0,1.0,8.0,high
754,15.0,0,0.0,1.0,5.0,medium
755,19.0,1,1.0,0.0,10.0,high
756,33.0,0,0.0,1.0,9.0,medium
758,31.0,0,0.0,0.0,3.0,medium
759,47.0,1,0.0,1.0,5.0,medium
761,32.0,0,0.0,0.0,4.0,low
762,38.0,1,0.0,0.0,9.0,high
764,42.0,1,1.0,1.0,8.0,high
765,46.0,1,0.0,1.0,1.0,medium
766,54.0,1,0.0,1.0,1.0,high
768,49.0,1,0.0,1.0,7.0,high
769,37.0,0,1.0,0.0,6.0,medium
770,49.0,1,1.0,0.0,3.0,high
771,25.0,0,0.0,0.0,1.0,low
772,48.0,0,0.0,0.0,10.0,medium
773,17.0,1,0.0,0.0,3.0,medium
775,36.0,1,0.0,1.0,8.0,high
776,38.0,1,1.0,0.0,10.0,high
777,56.0,0,0.0,0.0,4.0,high
779,36.0,1,0.0,0.0,3.0,medium
781,41.0,1,0.0,0.0,6.0,medium
783,27.0,1,0.0,1.0,6.0,medium
784,38.0,1,0.0,1.0,3.0,medium
785,39.0,1,0.0,0.0,3.0,medium
786,32.0,1,0.0,0.0,10.0,high
787,54.0,0,0.0,0.0,7.0,medium
788,28.0,0,0.0,0.0,1.0,low
789,32.0,0,0.0,1.0,9.0,medium
792,65.0,1,0.0,1.0,5.0,high
793,45.0,0,0.0,1.0,9.0,high
794,36.0,0,0.0,1.0,3.0,medium
796,44.0,1,0.0,1.0,4.0,high
797,43.0,1,0.0,1.0,4.0,high
799,46.0,1,0.0,1.0,9.0,high
800,38.0,1,0.0,1.0,2.0,medium
801,33.0,1,0.0,1.0,2.0,medium
802,28.0,1,0.0,0.0,8.0,medium
804,44.0,0,1.0,0.0,5.0,high
805,38.0,0,1.0,0.0,4.0,medium
806,33.0,0,0.0,1.0,2.0,low
807,50.0,0,1.0,0.0,7.0,high
808,34.0,1,0.0,1.0,7.0,high
811,22.0,1,0.0,1.0,4.0,medium
812,56.0,0,0.0,1.0,1.0,high
814,57.0,1,1.0,0.0,6.0,high
815,43.0,0,0.0,0.0,1.0,medium
816,35.0,1,0.0,1.0,3.0,medium
817,34.0,0,0.0,0.0,10.0,medium
819,41.0,1,0.0,1.0,10.0,high
821,29.0,1,0.0,1.0,4.0,medium
823,41.0,0,1.0,0.0,5.0,high
824,49.0,1,1.0,0.0,8.0,high
826,38.0,0,0.0,1.0,9.0,medium
827,47.0,1,0.0,1.0,1.0,medium
829,37.0,0,0.0,1.0,9.0,medium
830,43.0,0,1.0,0.0,3.0,medium
831,45.0,0,0.0,1.0,1.0,medium
833,42.0,0,0.0,0.0,1.0,medium
834,37.0,1,0.0,0.0,7.0,medium
835,48.0,1,0.0,0.0,6.0,high
836,39.0,1,0.0,1.0,10.0,high
837,25.0,1,0.0,1.0,1.0,medium
838,33.0,0,0.0,1.0,4.0,medium
839,31.0,0,0.0,0.0,5.0,medium
840,38.0,1,1.0,0.0,9.0,high
841,45.0,1,0.0,1.0,4.0,high
842,58.0,1,1.0,0.0,7.0,high
844,37.0,1,0.0,1.0,4.0,medium
845,28.0,1,0.0,1.0,7.0,medium
846,39.0,0,1.0,1.0,5.0,high
847,34.0,1,0.0,0.0,3.0,medium
848,20.0,1,1.0,1.0,1.0,high
849,41.0,1,0.0,1.0,9.0,high
851,22.0,1,0.0,1.0,4.0,high
852,64.0,1,0.0,0.0,6.0,high
853,56.0,1,0.0,0.0,3.0,high
855,41.0,1,0.0,0.0,2.0,medium
